Code,Name,Target_Asli,Prediksi_Model
LAPD,Leyand International Tbk.,50.0,393.3001
LCGP,Eureka Prima Jakarta Tbk.,114.0,403.11194
LCKM,LCK Global Kedaton Tbk.,302.0,462.43726
LEAD,Logindo Samudramakmur Tbk.,59.0,340.6031
LFLO,Imago Mulia Persada Tbk.,55.0,498.70123
LIFE,Asuransi Jiwa Sinarmas MSIG Tb,5175.0,547.44415
LINK,Link Net Tbk.,2500.0,355.4688
LION,Lion Metal Works Tbk.,735.0,1203.1085
LMAS,Limas Indonesia Makmur Tbk,50.0,538.4998
LMPI,Langgeng Makmur Industri Tbk.,114.0,1122.6942
LMSH,Lionmesh Prima Tbk.,620.0,1436.9645
LPCK,Lippo Cikarang Tbk,960.0,922.1149
LPGI,Lippo General Insurance Tbk.,5900.0,970.629
LPIN,Multi Prima Sejahtera Tbk,390.0,1454.4015
LPKR,Lippo Karawaci Tbk.,77.0,941.3042
LPLI,Star Pacific Tbk,272.0,1443.58
LPPF,Matahari Department Store Tbk.,4220.0,1515.1901
LPPS,Lenox Pasifik Investama Tbk.,82.0,1178.9448
LRNA,Eka Sari Lorena Transport Tbk.,181.0,330.07706
LSIP,PP London Sumatra Indonesia Tb,1015.0,1053.6329
LTLS,Lautan Luas Tbk.,1320.0,958.90717
LUCK,Sentral Mitra Informatika Tbk.,122.0,493.35666
LUCY,Lima Dua Lima Tiga Tbk.,185.0,500.89453
MABA,Marga Abhinaya Abadi Tbk.,50.0,550.3957
MAGP,Multi Agro Gemilang Plantation,50.0,347.24377
